periode_data,kategori,jurusan
202306,BRT,Blok M - Kota
202306,Angkutan Umum Integrasi,Pantai Maju - Balai Kota
202306,Angkutan Umum Integrasi,Stasiun Palmerah - Tosari
202306,Angkutan Umum Integrasi,Pesanggrahan - Blok M
202306,Angkutan Umum Integrasi,Pondok Labu - Blok M
202306,Angkutan Umum Integrasi,Stasiun Palmerah - Gelora Bung Karno
202306,Angkutan Umum Integrasi,Tanah Abang - Stasiun Gondangdia
202306,Royaltrans,Cibubur Junction - Blok M
202306,Angkutan Umum Integrasi,Meruya - Blok M
202306,Angkutan Umum Integrasi,Tanah Abang - Blok M
202306,Angkutan Umum Integrasi,Senen - Blok M
202306,Angkutan Umum Integrasi,Rempoa - Blok M
202306,Angkutan Umum Integrasi,Senen - Tanah Abang
202306,Royaltrans,Cibubur - Balai Kota
202306,BRT,Pulo Gadung - Monas
202306,BRT,Pulo Gadung - Rawa Buaya via Balai Kota
202306,Angkutan Umum Integrasi,Harapan Indah - ASMI
202306,BRT,Balai Kota - JIEXPO
202306,Rusun,Rusun Rawa Bebek - Pakin
202306,Rusun,Rusun Cakung Barat - Pulo Gadung
202306,Rusun,Rusun Jati Rawasari - Senen
202306,BRT,Kalideres - Monas via Veteran
202306,Rusun,Rusun Pesakih - Kalideres
202306,Rusun,Rusun Flamboyan - Cengkareng
202306,Rusun,Rusun Flamboyan - Cengkareng
202306,Angkutan Umum Integrasi,Puri Kembangan - Sentraland Cengkareng
202306,BRT,Puri Kembangan - Sentraland Cengkareng
202306,BRT,Pulo Gadung 2 - Dukuh Atas 2
202306,Angkutan Umum Integrasi,Stasiun Manggarai - UI
202306,Angkutan Umum Integrasi,TU Gas - Polda Metro Jaya
202306,BRT,Pulo Gadung 2 - Kuningan
202306,Rusun,Rusun Jatinegara Kaum - Pulo Gadung
202306,Angkutan Umum Integrasi,Pinang Ranti - Pulo Gadung
202306,BRT,Matraman Baru - Ancol
202306,Angkutan Umum Integrasi,Stasiun Tebet - BNN
202306,BRT,PGC 1 - Juanda
202306,BRT,PGC 1 - Ancol
202306,Angkutan Umum Integrasi,Kampung Melayu - Tanah Abang
202306,Angkutan Umum Integrasi,Kampung Melayu - Tanah Abang via Cikini
202306,Angkutan Umum Integrasi,Kampung Melayu - Ragunan via Kuningan Barat
202306,BRT,Ragunan - Dukuh Atas 2
202306,BRT,Ragunan - MH Thamrin via Kuningan
202306,BRT,Ragunan - MH Thamrin via Semanggi
202306,Angkutan Umum Integrasi,Stasiun Tebet - Karet via Patra Kuningan
202306,Angkutan Umum Integrasi,Stasiun Tebet - Bundaran Senayan
202306,Angkutan Umum Integrasi,Senen - Lebak Bulus
202306,Angkutan Umum Integrasi,Stasiun Manggarai - Blok M
202306,Angkutan Umum Integrasi,Ragunan - Blok M via Kemang
202306,Royaltrans,Cibubur - Kuningan
202306,Angkutan Umum Integrasi,Dukuh Atas 2 - Casablanca via Epicentrum Raya
202306,BRT,Kampung Rambutan - Kampung Melayu
202306,Angkutan Umum Integrasi,Kampung Rambutan - Lebak Bulus
202306,Angkutan Umum Integrasi,Kampung Rambutan - Blok M
202306,Angkutan Umum Integrasi,Cibubur - BKN
202306,Angkutan Umum Integrasi,Kampung Rambutan - Tegal Parang
202306,Angkutan Umum Integrasi,Kampung Rambutan - Ragunan
202306,BRT,Kampung Rambutan - Juanda via Cempaka Putih
202306,Angkutan Umum Integrasi,Pondok Kelapa - BKN
202306,BRT,Kampung Rambutan - Kampung Melayu via Tol HEK
202306,BRT,Lebak Bulus - Pasar Baru via Tomang
202306,BRT,Jelambar - Juanda
202306,Angkutan Umum Integrasi,Kebayoran Lama - Tanah Abang
202306,Angkutan Umum Integrasi,Joglo - Blok M
202306,Angkutan Umum Integrasi,Bintaro - Blok M
202306,Angkutan Umum Integrasi,Batusari - Grogol
202306,BRT,Pinang Ranti - Pluit
202306,BRT,PGC 1 - Latumeten
202306,BRT,Pinang Ranti - Gelora Bung Karno
202306,Angkutan Umum Integrasi,Pasar Minggu - Tanah Abang
202306,Angkutan Umum Integrasi,Kebayoran Lama - Jelambar
202306,Rusun,Rusun Tambora - Pluit
202306,Angkutan Umum Integrasi,Blok M - Universitas Indonesia
202306,BRT,Tanjung Priok - PGC 2
202306,Rusun,Rusun Marunda - Tanjung Priok
202306,Rusun,Rusun Cipinang Besar Selatan - Penas Kalimalang
202306,BRT,Kampung Rambutan - Tanjung Priok
202306,BRT,Tanjung Priok - Blok M
202306,Angkutan Umum Integrasi,Tanjung Priok - Senen via Taman BMW
202306,BRT,Pulo Gebang - Matraman Baru
202306,Rusun,Rusun Rawa Bebek - Penggilingan
202306,Rusun,Rusun Pinus Elok - Rusun Pulo Gebang
202306,Angkutan Umum Integrasi,Pulo Gebang - Pulo Gadung 2 via PIK
202306,Rusun,Rusun Komarudin - Penggilingan
202306,Rusun,Rusun Rawa Bebek - Bukit Duri
202306,Rusun,Rusun Cipinang Muara - Jatinegara
202306,Rusun,Rusun Pondok Bambu - Walikota Jakarta Timur
202306,Angkutan Umum Integrasi,Kampung Melayu - Pulo Gebang via BKT
202306,BRT,Tanjung Priok - Pluit
202306,Angkutan Umum Integrasi,Pelabuhan Kaliadem - Kota
202306,Angkutan Umum Integrasi,Pluit - Senen
202306,Rusun,Rusun Waduk Pluit - Penjaringan
